COLD_BLAST_FLOW_RATE,O2_FLOW,STEAM_FLOW,HOT_BLAST_TEMP,COAL_RATE_TPH,BFG_CO,BFG_CO2,BFG_H2,UPTAKE_TEMP_AVG,LOWER_K,MIDDLE_K,UPPER_K,HOT_BLAST_PRESSURE,Coke_ASH,Coke_MOISTURE,Coke_VM,Coal_ASH,Coal_VM,Coal_MOIST,I_MOISTURE_COKE,I_SLAGRATE,CIRCUIT_1_HL_MJ_H,CIRCUIT_3_HL_MJ_H,CIRCUIT_4_HL_MJ_H,Burden_CENTRECOKE,Burden_COKE,Burden_NUTCOKE,HM_TEMP (output)
298087.1642,34000.47304,2.837317328,1233.83181,76.70578811,25.61003459,24.8795048,4.253311174,119.7307474,1.844875222,0.765726538,0.478745725,3.854037493,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10830.38677,72279.91474,2205.085371,32.57346732,92.7090993,7.516953997,1508.705882
298021.5772,33999.03542,2.850582032,1233.845022,76.62008645,25.60581948,24.88037927,4.252927035,120.4891836,1.836189485,0.773267468,0.476538251,3.852475498,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10835.39652,72331.07158,2198.806509,32.53384318,92.59632291,7.507809966,1509.147059
298042.9813,34002.2901,2.905406779,1233.843179,76.42887557,25.6007164,24.87160346,4.252892885,120.164233,1.830911526,0.777347565,0.474903033,3.851977755,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10833.97401,72300.84791,2180.249331,32.50078912,92.50224596,7.500182105,1510.029412
298031.9819,33999.13408,2.939458922,1233.831971,76.30113115,25.62148719,24.87391764,4.248495268,119.6163606,1.827065163,0.780384311,0.474667294,3.85190963,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10829.4204,72330.94097,2150.825022,32.52038602,92.55802176,7.504704467,1510.911765
298045.917,33994.23989,2.94194856,1233.817416,76.3034389,25.62637456,24.87385211,4.24368407,118.9310902,1.813161765,0.778443554,0.470933845,3.853569122,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10824.73703,72299.75545,2109.420787,32.55154731,92.64671157,7.511895533,1511.794118
298007.0202,34003.37412,2.93298987,1233.861901,76.32717035,25.62928318,24.87358617,4.240669007,118.2617966,1.82125416,0.78277186,0.470836688,3.858591825,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10817.75882,72294.32909,2081.886563,32.58763744,92.74942965,7.520224025,1512.676471
297939.996,34000.42348,2.93712288,1233.817511,76.30981864,25.63392379,24.86804977,4.235837978,117.2934288,1.823780531,0.788590072,0.471239859,3.861752258,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10814.72816,72301.5898,2051.2241,32.56763456,92.69249835,7.515607975,1513.558824
297970.9773,34001.96044,2.93817191,1233.81408,76.31853956,25.65043593,24.86810413,4.232900105,117.0104231,1.818619135,0.797623184,0.472205669,3.864058946,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10811.97117,72405.96916,2003.430776,32.57616369,92.71677357,7.517576235,1513.970588
297961.6759,34001.25697,2.909345871,1233.804084,76.3934104,25.65200942,24.85994988,4.231834463,117.1696569,1.81435968,0.803759372,0.472562644,3.86477113,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10796.86603,72404.91922,1947.854132,32.59706757,92.77626925,7.522400209,1514.147059
298003.882,33997.38764,2.864322896,1233.804408,76.50168812,25.63170212,24.84650818,4.232019308,116.9012708,1.81562044,0.809979942,0.474008284,3.868351483,17.82166667,3.533333333,0.803333333,10.06,14.70333333,0.866666667,4.2,297,10780.19514,72302.23931,1887.252626,32.62781064,92.86376876,7.529494764,1514.411765
